SeI,1530.457,0.26,5.28e8
SeI,1405.382,0.105,2.54e8
SeI,1353.899,0.0503,1.31e8
SeII,1049.648,0.0823,9.96e8
SeII,1033.556,0.165,1.03e9
SeII,1013.434,0.263,1.14e9
BrI,1540.661,0.0771,2.39E8
BrI,1488.459,0.0669,2.22E8
KrI,1235.838,0.204,2.98e8
KrI,1164.8672,0.188,3.09e8
SrI,4608.617,2.01,2.10e8
SrI,2428.828,0.0468,1.83e8
SrI,2355.029,0.0479,1.92e7
SrI,2307.974,0.0288,1.20e7
SrII,4216.707,0.334,1.35e8
SrII,4078.861,0.701,1.50e8
ZrII,3573.4879,0.167,1e8
ZrII,3389.2675,0.065,1e8
ZrII,3358.2263,0.046,1e8
ZrII,3273.1651,0.05,1e8
ZrII,3285.6581,0.083,1e8
ZrII,2759.607,0.091,1e8
ZrII,2743.349,0.204,1e8
ZrII,2712.306,0.049,1e8
ZrII,2568.424,0.135,1e8
ZrII,2551.518,0.05,1e8
ZrIII,1798.048,0.178,6.13e8
NbII,2866.452,0.0603,1.75E8
NbII,2668.088,0.0955,3.23E8
RuII,1888.043,0.0293,2.56E8
PdII,1403.552,0.0328,8.34E7
PdII,1367.7,0.0712,2.54E8
PdII,1374.843,0.036,1.27E8
PdII,1320.018,0.122,4.68E8
PdII,1235.191,0.04,2.62E8
PdII,1218.618,0.0585,2.63E8
PdII,1203.96,0.132,4.54E8
AgII,1195.883,0.0369,3.45E8
AgII,1112.483,0.429,1.20E9
AgII,1107.072,0.382,1.09E9
CdII,2265.7152,0.247,3.21E8
CdII,2145.0697,0.498,3.61E8
SnII,1400.45,1.09,1e8
HgII,1649.947,0.83,1e8
PbII,1433.905,0.87,1e8
